0
 w_ustm=1.5333333015441895 w_ust=0.5333333611488342 w_m=0.5333333611488342 w_us=0.20000000298023224 w_t=0.200000002980232241
 w_ustm=1.537653923034668 w_ust=0.5378638505935669 w_m=0.532770037651062 w_us=0.1875310093164444 w_t=0.204181179404258732
 w_ustm=1.538324236869812 w_ust=0.5367749929428101 w_m=0.5336516499519348 w_us=0.1885206252336502 w_t=0.202728435397148133
 w_ustm=1.5412569046020508 w_ust=0.5373539924621582 w_m=0.5378998517990112 w_us=0.1796359419822693 w_t=0.20385332405567174
 w_ustm=1.5443406105041504 w_ust=0.5162050127983093 w_m=0.5586642622947693 w_us=0.18309764564037323 w_t=0.19769261777400975
 w_ustm=1.5369503498077393 w_ust=0.5352839827537537 w_m=0.5329510569572449 w_us=0.1933182030916214 w_t=0.20149643719196326
 w_ustm=1.5364500284194946 w_ust=0.5358165502548218 w_m=0.5362393260002136 w_us=0.18803900480270386 w_t=0.203454926609992987
 w_ustm=1.5372593402862549 w_ust=0.5337168574333191 w_m=0.5353981852531433 w_us=0.19261184334754944 w_t=0.201013803482055668
 w_ustm=1.5371387004852295 w_ust=0.5331191420555115 w_m=0.5353673696517944 w_us=0.1937466561794281 w_t=0.200627952814102179
 w_ustm=1.5353658199310303 w_ust=0.5365843772888184 w_m=0.5322192311286926 w_us=0.19427911937236786 w_t=0.20155151188373566
