0
 w_ustm=1.5333333015441895 w_ust=0.5333333611488342 w_m=0.5333333611488342 w_us=0.20000000298023224 w_t=0.200000002980232241
 w_ustm=1.5397298336029053 w_ust=0.5381760001182556 w_m=0.5351013541221619 w_us=0.1850339025259018 w_t=0.201958969235420232
 w_ustm=1.5381460189819336 w_ust=0.5381546020507812 w_m=0.5300144553184509 w_us=0.19138403236865997 w_t=0.20230077207088473
 w_ustm=1.539848804473877 w_ust=0.5400110483169556 w_m=0.5224509835243225 w_us=0.19538313150405884 w_t=0.202306151390075684
 w_ustm=1.5369361639022827 w_ust=0.5355631709098816 w_m=0.5323984622955322 w_us=0.19273555278778076 w_t=0.202366739511489875
 w_ustm=1.539331078529358 w_ust=0.537463366985321 w_m=0.529292643070221 w_us=0.19078649580478668 w_t=0.203126490116119386
 w_ustm=1.5403220653533936 w_ust=0.5318968296051025 w_m=0.5377572774887085 w_us=0.19115965068340302 w_t=0.19886413216590887
 w_ustm=1.5360383987426758 w_ust=0.5341780781745911 w_m=0.5348718166351318 w_us=0.1932372748851776 w_t=0.20167447626590738
 w_ustm=1.5387122631072998 w_ust=0.5363069772720337 w_m=0.5313140153884888 w_us=0.19031494855880737 w_t=0.203351840376853949
 w_ustm=1.536421298980713 w_ust=0.5346323251724243 w_m=0.5344892740249634 w_us=0.1949964314699173 w_t=0.19946074485778809
